KEM Variant,Family,KeyGen Time (s),Encap Time (s),Decap Time (s)
Kyber512,Kyber,1.3425653990452702e-05,1.5108496012544492e-05,1.060712801063346e-05
LightSaber,SABER,0.000017775,0.000019496,0.000019688
sntrup761,NTRU,0.0003089071689882985,1.5573246995700173e-05,1.617791600438068e-05
Classic-McEliece-348864f,McEliece,0.02921797411699845,6.882739100001345e-05,5.337732099542336e-05
