KEM Variant,Family,KeyGen Time (s),Encap Time (s),Decap Time (s)
Kyber512,Kyber,1.2248474994976278e-05,1.4763746996095506e-05,1.0301542998604419e-05
Kyber768,Kyber,1.7286959003286027e-05,2.104336699835585e-05,1.5524639002933326e-05
Kyber1024,Kyber,2.2176682998860996e-05,2.7768083999944793e-05,2.0999910002046817e-05
