KEM Variant,Family,KeyGen Time (s),Encap Time (s),Decap Time (s)
Classic-McEliece-348864,Classic McEliece,0.035751674952984105,4.5537175003119046e-05,4.3354161999559436e-05
Classic-McEliece-348864f,Classic McEliece,0.028302295963995677,3.65384719980284e-05,4.048016800152254e-05
Classic-McEliece-460896,Classic McEliece,0.10560717609901075,0.00010953945200981252,0.00013539298099112784
Classic-McEliece-460896f,Classic McEliece,0.08352678861701407,0.0001026926799913781,0.00013496775899056956
Classic-McEliece-6688128,Classic McEliece,0.1518231962540067,0.0002055900580062371,0.0001496117540054911
Classic-McEliece-6688128f,Classic McEliece,0.10531560128299862,0.00020009988299625548,0.00014808858198011877
Classic-McEliece-6960119,Classic McEliece,0.13996098799501305,0.00020671964099983598,0.00015543897100087634
Classic-McEliece-6960119f,Classic McEliece,0.10136836482299805,0.0002044811089763243,0.00014346167501025776
Classic-McEliece-8192128,Classic McEliece,0.15828977828398003,0.0002792322590057665,0.00015309431001514894
Classic-McEliece-8192128f,Classic McEliece,0.1142176336800012,0.0002849744970071697,0.00015683043299941345
