Bits,Best Distance,Best Timeout,Best Max Retries,Best Objective
2,200.0,14739878.135154897,10,200.0
4,166.72656618292467,12892378.941286618,10,166.72656618292467
8,149.14498884815967,9060050.265562365,10,149.14498884815967
16,131.25942969740223,5910863.8237396125,10,131.25942969740223
32,114.62364920147762,1730242.1974058608,10,114.62364920147762
64,98.71415152917012,450784.3382942674,10,98.71415152917012
128,69.86273282473543,239465.72992981755,9,69.86273282473543
256,68.06470496274093,229369.5846053156,9,68.06470496274093
